Pharmacy Name,City,Telephone,Address/Street,Latitude,Longitude,Working Days,Working Hours,De Garde,Google Maps Link,Pharmacy_Last_Updated,Extraction_Day
Pharmacie Fennich,Morocco,+212 5 37 88 39 32,Not Listed,34.0412544,-6.8283229,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=34.0412544,-6.8283229",2026-03-05,Friday (2026-06-05)
Pharmacie Al Qods صيدلية القدس,Kénitra,+212 5 35 65 50 68,RUE CENTRALE N° 1 BENSOUDA,34.2625986,-6.6173971,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.2625986,-6.6173971",2026-03-05,Friday (2026-06-05)
Pharmacie El Hilal صيدلية الهلال,Settat,+212 5 23 40 03 60,Avenue Zenata,32.9983229,-7.6059707,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=32.9983229,-7.6059707",2026-03-04,Friday (2026-06-05)
Pharmacie Rahmane صيدلية رحمان,Settat,+212 5 23 40 03 30,Avenue Ourika,32.9987868,-7.603988,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=32.9987868,-7.603988",2026-04-16,Friday (2026-06-05)
Pharmacie Mindily,Morocco,+212 5 23 40 23 25,Not Listed,32.9974265,-7.6080765,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=32.9974265,-7.6080765",2026-03-04,Friday (2026-06-05)
Pharmacie Al Wifak صيدلية الوفاق,Settat,+212 5 23 72 10 62,Avenue Abderrahmane Skirj,32.9976222,-7.6098164,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=32.9976222,-7.6098164",2026-03-04,Friday (2026-06-05)
Pharmacie Rayad,Settat,+212 5 23 72 08 25,Avenue Arbi El wadi,33.0033663,-7.613699,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=33.0033663,-7.613699",2026-03-04,Friday (2026-06-05)
Pharmacie Bouhadda صيدلية بوحادة,SETTAT,+212 5 23 72 39 05,Rue Haoud koungo,33.0019924,-7.6092699,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=33.0019924,-7.6092699",2026-03-04,Friday (2026-06-05)
Pharmacie Er-razi,Settat,+212 5 23 72 35 82,Avenue des FAR,33.0042318,-7.616074,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=33.0042318,-7.616074",2026-03-04,Friday (2026-06-05)
Pharmacie Ibn Abad صيدلية ابن عباد,Settat,+212 5 23 40 21 22,Avenue des FAR,33.002751,-7.6157954,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=33.002751,-7.6157954",2026-03-04,Friday (2026-06-05)
Pharmacie Derb Omar صيدلية درب عمر,Settat,+212 5 40 00 09 84,Rue Moulay Idriss,33.0016873,-7.6125296,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=33.0016873,-7.6125296",2026-03-04,Friday (2026-06-05)
Pharmacie Sidi Abdelkrim صيدلية سيدي عبد الكريم,SETTAT,+212 5 23 72 27 07,Avenue Ourika,33.0005456,-7.6104802,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=33.0005456,-7.6104802",2026-03-04,Friday (2026-06-05)
Pharmacie Al Ghofrane,Settat,+212 5 23 72 05 06,Avenue Aghmat,32.9980311,-7.6001608,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=32.9980311,-7.6001608",2026-03-04,Friday (2026-06-05)
Pharmacie Hanine,Settat,+212 5 23 40 25 07,Rue Echouhada,33.002998,-7.6183344,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=33.002998,-7.6183344",2026-03-04,Friday (2026-06-05)
Pharmacie Al Qods,Settat,+212 5 23 40 20 64,Boulevard Mohamed V,33.0007181,-7.6185788,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=33.0007181,-7.6185788",2026-03-04,Friday (2026-06-05)
Pharmacie Al Manar صيدلية المنار,Settat ⵥⵟⵟⴰⵟ سطات,+212 5 23 72 32 18,Route de Ben Ahmed,33.0018979,-7.6012036,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=33.0018979,-7.6012036",2026-03-04,Friday (2026-06-05)
Pharmacie Bouhaira صيدلية البحيرة,Essaouira الصويرة,+212 5 24 47 25 68,Avenue Allal El Fassi شارع علال الفاسي,31.5161079,-9.7569267,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=31.5161079,-9.7569267",2026-04-16,Friday (2026-06-05)
Pharmacie Les Capucines,Morocco,Not Available,Boulevard Al Massira Al Khadra شارع المسيرة الخضراء,33.5869027,-7.6366061,Monday - Saturday (Standard),09:00 - 20:00 (Standard),No,"https://www.google.com/maps/search/?api=1&query=33.5869027,-7.6366061",2026-05-20,Friday (2026-06-05)
Pharmacie Irchad صيدلية إرشاد,Fès,+212 5 35 60 18 36,HAY AL WIFAQ RTE AIN SMAEN,34.0091704,-5.0299565,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0091704,-5.0299565",2026-03-05,Friday (2026-06-05)
Pharmacie Basmati صيدلية بسمتي,Fès,+212 5 35 60 33 13,Not Listed,34.0165709,-5.0335195,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0165709,-5.0335195",2026-03-05,Friday (2026-06-05)
Pharmacie la Tulipe صيدلية لاتوليب,Fès,+212 5 35 60 20 60,طريق عين السمن Route Aïn Smenقامة بسم الله طريق عين السمن,34.0155439,-5.0204776,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0155439,-5.0204776",2026-03-05,Friday (2026-06-05)
Pharmacie de la Liberté صيدلية الحرية,Fès,+212 5 35 62 19 73,Place de la Résistance,34.0452085,-4.9969331,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0452085,-4.9969331",2026-03-05,Friday (2026-06-05)
Pharmacie les Palmiers صيدلية النخيل,Fés,+212 5 35 62 12 84,Avenue Hassan II,34.0394593,-5.0015078,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0394593,-5.0015078",2026-03-05,Friday (2026-06-05)
Pharmacie de France صيدلية فرنسا,Fès,+212 5 35 62 23 09,Avenue Hassan II,34.0429619,-4.9987649,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0429619,-4.9987649",2026-03-05,Friday (2026-06-05)
Pharmacie l'Amitié صيدلية الصداقة,Fés,+212 5 35 60 91 39,RUE MED FASSI 221 HAY ADARISSA,34.014454,-5.0096513,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.014454,-5.0096513",2026-03-05,Friday (2026-06-05)
Pharmacie Bouslikhane صيدلية بوسليخن,Fés,+212 5 35 60 45 25,LOT AL WIFAK AIN SMEN,34.0094085,-5.0261096,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0094085,-5.0261096",2026-03-05,Friday (2026-06-05)
Pharmacie Echadli صيدلية الشادلي,Fès,+212 5 35 96 48 99,lotiss anbra S3 45fin rte ain smen fes,34.0078033,-5.0322131,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0078033,-5.0322131",2026-03-05,Friday (2026-06-05)
Pharmacie Allal Ben Abdellah صيدلية علال بن عبد الله,Fès,+212 5 35 65 27 44,Avenue Allal Ben Abdallah,34.033564,-5.0069404,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.033564,-5.0069404",2026-03-05,Friday (2026-06-05)
Pharmacie du Maroc صيدلية المغرب,Fès,+212 5 35 63 35 74,BATHA,34.0604344,-4.9817913,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0604344,-4.9817913",2026-03-05,Friday (2026-06-05)
Pharmacie la Criée صيدلية المزاد,Fès,+212 5 35 65 53 27,11 QUARTIER AL AMANE BENSOUDA,34.0005071,-5.0434417,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0005071,-5.0434417",2026-03-05,Friday (2026-06-05)
Pharmacie Bahja صيدلية البهجة,Fès,+212 5 35 62 24 41,Boulevard Mohammed 5,34.0389152,-4.9986734,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0389152,-4.9986734",2026-03-05,Friday (2026-06-05)
Pharmacie de la Santé صيدلية الصحة,Fès,+212 5 35 65 67 23,Avenue Ismailia,34.0128456,-4.9854532,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0128456,-4.9854532",2026-03-05,Friday (2026-06-05)
Pharmacie Idrissi صيدلية الإدريسي,Fès,+212 5 35 60 67 31,DEBUT HAY SAADA RTE AIN CHKEF,34.0267254,-5.0034341,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0267254,-5.0034341",2026-03-05,Friday (2026-06-05)
Pharmacie Debbagh صيدلية الدباغ,Fès,+212 5 35 62 23 81,Avenue OUBEIDA IBN JARRAH,34.0428163,-5.0038728,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0428163,-5.0038728",2026-03-05,Friday (2026-06-05)
Pharmacie Moulay El Kamel صيدلية مولاي الكامل,Fès,+212 5 35 62 66 36,Avenue du Prince Heritier champs de course,34.0365542,-5.0084996,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0365542,-5.0084996",2026-03-05,Friday (2026-06-05)
Pharmacie Mimousa صيدلية ميموزة,Fès فاس,+212 5 35 62 33 76,20 AV . Prince Heritier,34.0326314,-5.0123203,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0326314,-5.0123203",2026-03-05,Friday (2026-06-05)
Pharmacie Zemmouri صيدلية الزموري,Fès,+212 5 35 60 14 46,RESIDENCE NAKHLA RTE AIN SMEN,34.0185021,-5.0190467,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0185021,-5.0190467",2026-03-05,Friday (2026-06-05)
Pharmacie et Laboratoire El Karaouyine صيدلية و مختبر القرويين,Fès,+212 5 35 64 07 49,Bourmana derb kristiani,34.0210364,-4.9929013,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0210364,-4.9929013",2026-03-05,Friday (2026-06-05)
Pharmacie Jnane Fès صيدلية جنان فاس,Fés,+212 5 35 65 39 50,rue Akhtal ibn battouta,34.0304772,-5.0051309,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0304772,-5.0051309",2026-03-05,Friday (2026-06-05)
Pharmacie Assalama صيدلية السلامة,Fès,+212 5 35 62 13 00,Rue Jordani,34.0451989,-5.0029903,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0451989,-5.0029903",2026-03-05,Friday (2026-06-05)
Pharmacie Route d'Immouzer صيدلية طريق إيموزار,Fès,+212 5 35 31 65 25,Avenue Roi Houssaine,34.0196299,-4.9959536,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0196299,-4.9959536",2026-03-05,Friday (2026-06-05)
Pharmacie de l'Hôpital صيدلية المستشفى,Fès,+212 5 35 62 64 68,Rue Mohammed Diouri زنقة محمد الديوري,34.0392486,-4.9936096,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0392486,-4.9936096",2026-03-05,Friday (2026-06-05)
Pharmacie Moulay Driss صيدلية مولاي ادريس,Fès,+212 5 35 65 10 50,lot kenza chapm course,34.0336413,-5.0189835,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0336413,-5.0189835",2026-03-05,Friday (2026-06-05)
Pharmacie le Palais صيدلية القصر,Fès,+212 5 35 61 03 27,HAY TARIK A COTE PALAIS SANABIL,34.0307431,-5.0229027,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0307431,-5.0229027",2026-03-05,Friday (2026-06-05)
Pharmacie Nouzha صيدلية النزهة,Fés,+212 5 35 61 03 47,Route Ain Chkef,34.0117154,-5.0108792,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0117154,-5.0108792",2026-03-05,Friday (2026-06-05)
Pharmacie El Fath صيدلية الفتح,Fès,+212 5 35 62 30 89,Avenue Mohamed Es Slaoui,34.0374402,-5.0003795,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0374402,-5.0003795",2026-03-05,Friday (2026-06-05)
Pharmacie Marjane صيدلية مرجان,Fès,+212 5 35 75 42 34,SUPER MARCHE MARJANE,34.0492382,-5.0355052,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0492382,-5.0355052",2026-03-05,Friday (2026-06-05)
Pharmacie Al Ichrak صيدلية الإشراق,Fès,+212 5 35 60 77 87,367 AHMED BALAFEJ ADARISSA,34.0167606,-5.0109578,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0167606,-5.0109578",2026-03-05,Friday (2026-06-05)
Pharmacie Al Mernissi صيدلية المرنيسي,Fès,+212 5 35 62 67 67,Champs de Cours Dokkarat,34.0392401,-5.0129692,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0392401,-5.0129692",2026-03-05,Friday (2026-06-05)
Pharmacie Masjid Ataqwa صيدلية مسجد التقوى,Fès,+212 5 35 74 81 40,RUE AL AMIR RTE AYN CHKEF,34.0194622,-5.0056751,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0194622,-5.0056751",2026-03-05,Friday (2026-06-05)
Pharmacie Bennani صيدلية بناني,Fès,+212 5 35 60 87 88,HAY TARIK I,34.032488,-5.02417,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.032488,-5.02417",2026-03-05,Friday (2026-06-05)
Pharmacie Belbacha صيدلية بالباشة,Fès,+212 5 35 65 48 70,Not Listed,34.0304648,-5.013688,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0304648,-5.013688",2026-03-05,Friday (2026-06-05)
Pharmacie Moulay Slimane صيدلية مولاي سليمان,Fès,+212 5 35 65 76 08,RUE SAIN LOUIS RTE AIN CHKAEF,34.029394,-5.0005704,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.029394,-5.0005704",2026-03-05,Friday (2026-06-05)
Pharmacie Azzahraouayn صيدلية الزهراويين,Fès,+212 5 35 65 52 50,1 BAB atlas lot N 41 zouagha,34.0247453,-5.0407415,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0247453,-5.0407415",2026-03-05,Friday (2026-06-05)
Pharmacie Touzani صيدلية التوزاني,Fès,+212 5 35 61 22 21,Rue Abdellah Guenoun,34.029135,-5.0265075,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.029135,-5.0265075",2026-03-05,Friday (2026-06-05)
Pharmacie Pavlov صيدلية بافلوف,Fès,+212 5 35 72 61 61,IMM 84 N 3 LOT .DALILA-ADDOHA-ZOUAGHA,34.0129982,-5.0401436,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0129982,-5.0401436",2026-03-05,Friday (2026-06-05)
Pharmacie Bab Ftouh صيدلية باب فتوح,Fès,+212 5 35 64 91 35,BAB FTOUH,34.0608412,-4.9664226,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0608412,-4.9664226",2026-03-05,Friday (2026-06-05)
Pharmacie Al Ouafae صيدلية الوفاء,Fès,+212 5 35 61 92 01,LOT 394 NARJISS LOT OUAFAE RTE SEFROU,34.0112189,-4.9763526,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0112189,-4.9763526",2026-03-05,Friday (2026-06-05)
Pharmacie Naima Lahlou صيدلية نعيمة لحلو,Fès,+212 5 35 63 12 11,Not Listed,34.0570103,-4.9905245,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0570103,-4.9905245",2026-03-05,Friday (2026-06-05)
Pharmacie Ben Debbab صيدلية بن دباب,Fès,+212 5 35 64 51 74,ROND POINT KARAOUINE BEN DEBBAB,34.0638765,-4.9943906,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0638765,-4.9943906",2026-03-05,Friday (2026-06-05)
Pharmacie Arrajae صيدلية الرجاء,Fès,+212 5 35 72 61 62,N 1 RUE MERJA ZOUAGHA,34.03271,-5.047852,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.03271,-5.047852",2026-03-05,Friday (2026-06-05)
Pharmacie El Malhi صيدلية الملحي,Fès فاس,+212 5 35 61 10 29,HAY TARIK 1 RUE 3,34.0356746,-5.0245247,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0356746,-5.0245247",2026-03-05,Friday (2026-06-05)
Pharmacie El Wardi صيدلية الوردي,Fès,+212 5 35 63 10 46,hay oued fes,34.0551533,-5.0329316,Monday - Saturday (Standard),09:00 - 20:00 (Standard),Yes / 24h,"https://www.google.com/maps/search/?api=1&query=34.0551533,-5.0329316",2026-03-05,Friday (2026-06-05)
