Hospital/Clinic Name,Type,City,Telephone,Emergency Services,Address/Street,Latitude,Longitude,Last_Updated,Google Maps Link,Extraction_Day
Hôpital Mariouari et Idoudouhan ⵙⴻⴱⴼⵉⵟⴰⵔ ⴻⵏ ⵢ'ⴷⵓⴷⵓⵃⴻⵏ مستشفى ماريواري وإدودوحن,Hospital,Morocco,Not Available,Not Specified,Not Listed,35.3014161,-2.9755335,2026-04-27,"https://www.google.com/maps/search/?api=1&query=35.3014161,-2.9755335",Friday (2026-06-05)
Avicenne ابن سينا,Clinic,Morocco,+212 5 22 79 33 00,Not Specified,Avenue de Nador,33.5543506,-7.6109113,2026-03-04,"https://www.google.com/maps/search/?api=1&query=33.5543506,-7.6109113",Friday (2026-06-05)
Polyclinique Annakhil,Clinic,Morocco,+212 5 35 69 37 04,Not Specified,Avenue My Abdellah Route d ' Imouzzer Fès Saiss,33.9950093,-4.9934955,2026-03-05,"https://www.google.com/maps/search/?api=1&query=33.9950093,-4.9934955",Friday (2026-06-05)
Clinique Rabat Zaers,Clinic,Morocco,+212 5 37 65 65 65,Not Specified,Avenue Mohammed VI,34.0018731,-6.8270427,2026-04-16,"https://www.google.com/maps/search/?api=1&query=34.0018731,-6.8270427",Friday (2026-06-05)
Cabinet Cardiologue,Clinic,Morocco,+212 5 35 64 14 64,Not Specified,Not Listed,34.0356801,-5.0007628,2026-04-16,"https://www.google.com/maps/search/?api=1&query=34.0356801,-5.0007628",Friday (2026-06-05)
Cabinet de Rheumatologie,Hospital,rue mohamed ZARKTOUNI FEZ,+212 5 35 62 50 99,Not Specified,Not Listed,34.0369853,-5.0019344,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0369853,-5.0019344",Friday (2026-06-05)
Clinique Aoufi,Clinic,Tanger,Not Available,Not Specified,Rue Ibn Zaidoun,35.7820882,-5.8220505,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7820882,-5.8220505",Friday (2026-06-05)
clinique nour,Clinic,6 rue kasem amine,+212 5 35 94 46 47,Not Specified,Not Listed,34.0306715,-5.0093894,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0306715,-5.0093894",Friday (2026-06-05)
clinique haj abdehadi,Clinic,ain kadous fez,+212 5 35 70 04 70,Not Specified,Not Listed,34.0617107,-5.0131736,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0617107,-5.0131736",Friday (2026-06-05)
Dr Bouzoubaa,Clinic,Morocco,+212 5 23 72 23 72,Not Specified,Not Listed,33.0125066,-7.6295255,2026-03-04,"https://www.google.com/maps/search/?api=1&query=33.0125066,-7.6295255",Friday (2026-06-05)
أمراض القلب,Clinic,Morocco,+212 5 22 36 97 85,Not Specified,شارع ابن سينا,33.584284,-7.6506214,2026-03-04,"https://www.google.com/maps/search/?api=1&query=33.584284,-7.6506214",Friday (2026-06-05)
مركز الفحص بالاشعة- النافورة,Clinic,Morocco,+212 5 37 36 19 42,Not Specified,Rue Al Maamora,34.259658,-6.5831897,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.259658,-6.5831897",Friday (2026-06-05)
polyclinique dar asseha,Clinic,Morocco,+212 5 35 51 61 10,Not Specified,Not Listed,33.9044528,-5.542578,2026-03-05,"https://www.google.com/maps/search/?api=1&query=33.9044528,-5.542578",Friday (2026-06-05)
Urgences,Hospital,Tit Mellil تيط مليل,+212 5 22 33 17 77,Yes / 24h Urgences,Bd Attawhid,33.549182,-7.4852956,2026-03-04,"https://www.google.com/maps/search/?api=1&query=33.549182,-7.4852956",Friday (2026-06-05)
مصحة طب الأعين الشيخ مول العينين,Clinic,Morocco,+212 5 37 88 27 96,Not Specified,Not Listed,34.0345106,-6.8236692,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0345106,-6.8236692",Friday (2026-06-05)
طبيب النساء و التوليد,Hospital,Morocco,+212 5 35 46 82 82,Not Specified,Riad Azzaytoune B,33.8589416,-5.5717484,2026-05-13,"https://www.google.com/maps/search/?api=1&query=33.8589416,-5.5717484",Friday (2026-06-05)
Kiné oum & co,Hospital,Casablanca ⵜⴰⴷⴷⴰⵔⵜ ⵜⵓⵎⵍⵉⵍⵜ الدار البيضاء,+212 6 73 24 03 66,Not Specified,Rue 18 زنقة,33.5403113,-7.5509901,2026-04-16,"https://www.google.com/maps/search/?api=1&query=33.5403113,-7.5509901",Friday (2026-06-05)
Clinique Avicenne,Clinic,Morocco,Not Available,Not Specified,Not Listed,34.0038095,-4.9726886,2026-04-30,"https://www.google.com/maps/search/?api=1&query=34.0038095,-4.9726886",Friday (2026-06-05)
Infirmier à domicile,Hospital,Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية,+212 6 70 05 62 27,Yes / 24h Urgences,rue ibn sina quartier takaddoun,32.2332171,-8.5384158,2026-03-05,"https://www.google.com/maps/search/?api=1&query=32.2332171,-8.5384158",Friday (2026-06-05)
جميع العلاجات التمريضية اليوسفية,Hospital,Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية,+212 6 70 05 62 27,Yes / 24h Urgences,quartier dakhla,32.2346169,-8.5351106,2026-03-05,"https://www.google.com/maps/search/?api=1&query=32.2346169,-8.5351106",Friday (2026-06-05)
جميع العلاجات التمريضية اليوسفية,Hospital,Youssoufia ⵢⵓⵙⴼⵉⵢⴰ اليوسفية,+212 6 70 05 62 27,Yes / 24h Urgences,QUARTIER HASSANI,32.248714,-8.5238442,2026-04-16,"https://www.google.com/maps/search/?api=1&query=32.248714,-8.5238442",Friday (2026-06-05)
هشام الفرملي,Hospital,chemaia,+212 6 70 05 62 27,Yes / 24h Urgences,chef mbarek,32.0760205,-8.6266709,2026-03-05,"https://www.google.com/maps/search/?api=1&query=32.0760205,-8.6266709",Friday (2026-06-05)
هشام الفرملي,Hospital,Echemmaia ⵛⵎⴰⵄⵉⵢⴰ الشماعية,+212 6 70 05 62 27,Yes / 24h Urgences,Not Listed,32.0780905,-8.6267226,2026-03-05,"https://www.google.com/maps/search/?api=1&query=32.0780905,-8.6267226",Friday (2026-06-05)
infirmerie,Hospital,Youssoufia,+212 6 70 05 62 27,Yes / 24h Urgences,quartier amal,32.2573017,-8.528899,2026-03-05,"https://www.google.com/maps/search/?api=1&query=32.2573017,-8.528899",Friday (2026-06-05)
Infirmerie tous type de soins,Hospital,Youssoufia,+212 6 70 05 62 27,Yes / 24h Urgences,rue aguendis,32.260338,-8.5268569,2026-03-05,"https://www.google.com/maps/search/?api=1&query=32.260338,-8.5268569",Friday (2026-06-05)
APEX Dental Clinic,Hospital,Tanger,Not Available,Not Specified,Place des Nations ساحة الأمم,35.7757254,-5.8046245,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7757254,-5.8046245",Friday (2026-06-05)
Polyclinique Lixus,Hospital,Larache,Not Available,Not Specified,"Avenue Mehdi Ibn Toumert, Larache, Maroc",35.1806608,-6.1463313,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.1806608,-6.1463313",Friday (2026-06-05)
Clinique Tingis,Hospital,Tanger,Not Available,Not Specified,Rue Aboubakr Razi,35.7708912,-5.8072381,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7708912,-5.8072381",Friday (2026-06-05)
Clinique Maghreb مصحة المغرب,Clinic,Morocco,+212 6 62 33 40 85,Not Specified,Rue El Kadi Iass زنقة القاضي إياس,33.5850575,-7.6427795,2026-04-16,"https://www.google.com/maps/search/?api=1&query=33.5850575,-7.6427795",Friday (2026-06-05)
La Symphony Dental Centre,Hospital,Tanger طنجة,Not Available,Yes / 24h Urgences,Avenue Al Quds شارع القدس,35.7493705,-5.7989835,2026-04-16,"https://www.google.com/maps/search/?api=1&query=35.7493705,-5.7989835",Friday (2026-06-05)
Centre de Santé Said Noussairi,Hospital,Tanger,+212 6 63 61 32 42,No,Rue de Fès,35.7706014,-5.8146093,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7706014,-5.8146093",Friday (2026-06-05)
Clinique Val Fleuri Maarif مصحة فال فلوري المعاريف,Clinic,Morocco,Not Available,Not Specified,Rue Montaigne,33.5760462,-7.6355313,2026-05-20,"https://www.google.com/maps/search/?api=1&query=33.5760462,-7.6355313",Friday (2026-06-05)
Cabinet Dr HAMYA,Hospital,inzegane,Not Available,Not Specified,"6 2ème étage, En face de Marjane, Immeuble Najah, Lotissement Najah lot n°16",30.3595828,-9.5258805,2026-01-05,"https://www.google.com/maps/search/?api=1&query=30.3595828,-9.5258805",Friday (2026-06-05)
Hospital of Sidi Rahal - مستشفى سيدي رحال,Hospital,Morocco,Not Available,Not Specified,Not Listed,33.4738277,-7.9603643,2026-02-08,"https://www.google.com/maps/search/?api=1&query=33.4738277,-7.9603643",Friday (2026-06-05)
Dr JROUNDI Hatim urologue oujda,Hospital,Oujda وجدة,+212 5 36 68 43 93,Yes / 24h Urgences,Not Listed,34.675126,-1.9233158,2026-04-16,"https://www.google.com/maps/search/?api=1&query=34.675126,-1.9233158",Friday (2026-06-05)
Moulay Abdellah,Hospital,Morocco,Not Available,Not Specified,Not Listed,34.0263046,-6.75359,2026-04-01,"https://www.google.com/maps/search/?api=1&query=34.0263046,-6.75359",Friday (2026-06-05)
Clinique Adrar Dar Essalam,Clinic,Morocco,Not Available,Not Specified,Not Listed,30.3867404,-9.5085398,2026-04-05,"https://www.google.com/maps/search/?api=1&query=30.3867404,-9.5085398",Friday (2026-06-05)
Clinical Inéa Taounate مستشفى متخصص,Hospital,Morocco,Not Available,Not Specified,Not Listed,34.5194273,-4.6459826,2026-04-19,"https://www.google.com/maps/search/?api=1&query=34.5194273,-4.6459826",Friday (2026-06-05)
أكديطال المصحة الدولية فاس,Hospital,Morocco,Not Available,Not Specified,Not Listed,33.992445,-4.9875794,2026-04-20,"https://www.google.com/maps/search/?api=1&query=33.992445,-4.9875794",Friday (2026-06-05)
المركز الصحي القروي البسابسة,Hospital,Morocco,Not Available,Not Specified,Not Listed,34.2829919,-4.7060296,2026-04-21,"https://www.google.com/maps/search/?api=1&query=34.2829919,-4.7060296",Friday (2026-06-05)
مستشفى الوردزاغ,Hospital,Morocco,Not Available,Not Specified,Not Listed,34.5344065,-4.9683983,2026-04-23,"https://www.google.com/maps/search/?api=1&query=34.5344065,-4.9683983",Friday (2026-06-05)
مركز الزهراء للحجامة و العلاج البديل,Hospital,Morocco,Not Available,Not Specified,Not Listed,35.6079982,-5.2704884,2026-04-25,"https://www.google.com/maps/search/?api=1&query=35.6079982,-5.2704884",Friday (2026-06-05)
المركز الصحي الحضري الدرادب,Hospital,Morocco,Not Available,Not Specified,Not Listed,35.7872652,-5.8343749,2026-04-26,"https://www.google.com/maps/search/?api=1&query=35.7872652,-5.8343749",Friday (2026-06-05)
مستشفى العهد الجديد,Hospital,Morocco,Not Available,Not Specified,Not Listed,35.624602,-5.290814,2026-04-27,"https://www.google.com/maps/search/?api=1&query=35.624602,-5.290814",Friday (2026-06-05)
Centre Echifa De Kinésithérapie & Physiothérapie,Hospital,Morocco,06 90 68 18 81,Not Specified,Not Listed,34.548772,-4.641901,2026-05-17,"https://www.google.com/maps/search/?api=1&query=34.548772,-4.641901",Friday (2026-06-05)
المركز الصحي القلعة,Hospital,Morocco,Not Available,Not Specified,Not Listed,35.6809426,-5.3298389,2026-04-27,"https://www.google.com/maps/search/?api=1&query=35.6809426,-5.3298389",Friday (2026-06-05)
مصحة الرازي,Hospital,Morocco,Not Available,Not Specified,Not Listed,35.783576,-5.826432,2026-04-28,"https://www.google.com/maps/search/?api=1&query=35.783576,-5.826432",Friday (2026-06-05)
Hôpital de Jour Martil,Hospital,Morocco,Not Available,Not Specified,Not Listed,35.619051,-5.28817,2026-04-30,"https://www.google.com/maps/search/?api=1&query=35.619051,-5.28817",Friday (2026-06-05)
Centre santé jnanate,Hospital,Morocco,Not Available,Not Specified,Not Listed,34.071535,-4.962336,2026-04-30,"https://www.google.com/maps/search/?api=1&query=34.071535,-4.962336",Friday (2026-06-05)
Clinique Taiba,Hospital,Morocco,Not Available,Not Specified,Not Listed,34.01737,-4.99599,2026-04-30,"https://www.google.com/maps/search/?api=1&query=34.01737,-4.99599",Friday (2026-06-05)
مستشفى عمومي,Hospital,Morocco,Not Available,Not Specified,Not Listed,34.768882,-4.526105,2026-05-03,"https://www.google.com/maps/search/?api=1&query=34.768882,-4.526105",Friday (2026-06-05)
Centre de Radiologie Benchekroun - CRDIB,Hospital,Fès,Not Available,Not Specified,Rue Al Hoceima زنقة الحسيمة,34.0271946,-4.9943471,2026-05-04,"https://www.google.com/maps/search/?api=1&query=34.0271946,-4.9943471",Friday (2026-06-05)
Cabinet Dr Imane El Fatemi,Clinic,Morocco,Not Available,Not Specified,Not Listed,35.770388,-5.825675,2026-05-04,"https://www.google.com/maps/search/?api=1&query=35.770388,-5.825675",Friday (2026-06-05)
المركز الصحي التقدم,Hospital,Morocco,Not Available,Not Specified,Not Listed,33.984019,-6.82463,2026-05-13,"https://www.google.com/maps/search/?api=1&query=33.984019,-6.82463",Friday (2026-06-05)
Clinique Riad Marshan,Hospital,Tanger طنجة,+2126 61 40 56 04,Yes / 24h Urgences,Rue Hasnouna,35.7869368,-5.8201577,2026-05-21,"https://www.google.com/maps/search/?api=1&query=35.7869368,-5.8201577",Friday (2026-06-05)
Dar Al Chifae Fès,Hospital,Morocco,Not Available,Not Specified,Not Listed,34.033581,-5.020346,2026-05-15,"https://www.google.com/maps/search/?api=1&query=34.033581,-5.020346",Friday (2026-06-05)
المركز الصحي حصاين,Hospital,Morocco,Not Available,Not Specified,Not Listed,34.019792,-6.745155,2026-05-16,"https://www.google.com/maps/search/?api=1&query=34.019792,-6.745155",Friday (2026-06-05)
hôpital universitaire Mohammed VI des Sciences et de la Santé,Hospital,Rabat ⵔⴱⴰⵟ الرباط,+212 5 30 44 04 41,Yes / 24h Urgences,Avenue Mohammed Ben Abdellah Regragui,33.9807053,-6.8566012,2026-05-29,"https://www.google.com/maps/search/?api=1&query=33.9807053,-6.8566012",Friday (2026-06-05)
Hôpital Mohammed V,Hospital,Tanger,Not Available,Not Specified,Boulevard Moulay Rachid شارع مولاي رشيد,35.7781906,-5.8282592,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7781906,-5.8282592",Friday (2026-06-05)
Clinique Bades,Hospital,Al Hoceima,Not Available,Not Specified,Avenue Mohammed 5 شارع محمد الخامس,35.2338198,-3.9255847,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.2338198,-3.9255847",Friday (2026-06-05)
Clinique rif,Hospital,Tétouan,Not Available,Not Specified,Av. des FAR,35.5868035,-5.3468001,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.5868035,-5.3468001",Friday (2026-06-05)
Centre de dialyse Arrayane,Hospital,Tétouan,Not Available,Not Specified,Avenue Beyrout,35.5844993,-5.3467761,2026-04-16,"https://www.google.com/maps/search/?api=1&query=35.5844993,-5.3467761",Friday (2026-06-05)
Clinique an-Nakhil,Hospital,Tétouan,Not Available,Not Specified,Av. Hassan II,35.5689951,-5.3822046,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.5689951,-5.3822046",Friday (2026-06-05)
Clinique Tétouan,Hospital,Tétouan,Not Available,Not Specified,Av. Mohamed V,35.5707363,-5.3854731,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.5707363,-5.3854731",Friday (2026-06-05)
Polyclinique CNSS Ziraoui,Hospital,Morocco,+212 5 22 20 38 61,Yes / 24h Urgences,Not Listed,33.594349,-7.6356322,2026-04-17,"https://www.google.com/maps/search/?api=1&query=33.594349,-7.6356322",Friday (2026-06-05)
Hôpital Cheikh Zaid مستشفي الشيخ زايد بالرباط,Hospital,Rabat ⵔⴱⴰⵟ الرباط,+212 5 37 68 38 48,Yes / 24h Urgences,Avenue Allal Fassi شارع علال الفاسي,33.9774766,-6.8696998,2026-03-05,"https://www.google.com/maps/search/?api=1&query=33.9774766,-6.8696998",Friday (2026-06-05)
Hôpital Mohamed V,Hospital,Chefchaouen,Not Available,Not Specified,AV Jamaleddine Al Afghani,35.1686501,-5.2708994,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.1686501,-5.2708994",Friday (2026-06-05)
Hopital Mohamed V,Hospital,Chefchaouen,Not Available,Not Specified,AV Jamaleddine Al Afghani,35.1684934,-5.2712294,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.1684934,-5.2712294",Friday (2026-06-05)
hôpital al kortobi,Hospital,Tanger,Not Available,Not Specified,Rue Assad Ibn Al Farrat,35.7894876,-5.8183982,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7894876,-5.8183982",Friday (2026-06-05)
Clinique RAIS,Hospital,Fès,+212 5 35 62 11 08,Not Specified,Avenue Allal Ben Abdallah,34.0335173,-5.006211,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0335173,-5.006211",Friday (2026-06-05)
Centre Hémodialyse Idriss Al Akbar - Dr Oualim Zouhair,Clinic,Rabat ⵔⴱⴰⵟ الرباط,Not Available,Not Specified,Avenue Tariq Ibn Ziyad شارع طارق بن زياد,34.0158258,-6.8213203,2026-05-05,"https://www.google.com/maps/search/?api=1&query=34.0158258,-6.8213203",Friday (2026-06-05)
Hôpital du Cheikh Khalifa Ben Zayd Al-Nahyan,Hospital,Casablanca,Not Available,Yes / 24h Urgences,Avenue Mohamed Taib Naciri,33.5523764,-7.6683106,2026-05-11,"https://www.google.com/maps/search/?api=1&query=33.5523764,-7.6683106",Friday (2026-06-05)
Hôpital Eddarrak مستشفى الدراق,Hospital,Berkane,Not Available,Yes / 24h Urgences,Rue De La Victoire,34.9249185,-2.3252344,2026-04-03,"https://www.google.com/maps/search/?api=1&query=34.9249185,-2.3252344",Friday (2026-06-05)
Hopital polyclinique cheikh zaid المركزالاستشفائي الشيخ زايد,Hospital,Morocco,Not Available,Not Specified,Not Listed,32.8814293,-6.9073947,2026-01-11,"https://www.google.com/maps/search/?api=1&query=32.8814293,-6.9073947",Friday (2026-06-05)
Clinique Bennis مصحة بنيس,Clinic,Tanger,Not Available,Not Specified,Route de Tétouan,35.7654364,-5.7979814,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7654364,-5.7979814",Friday (2026-06-05)
Centre de santé 1,Clinic,Toulal ⵜⵓⵍⴰⵍ تولال,Not Available,Not Specified,Avenue 1,33.8838499,-5.5946174,2026-04-09,"https://www.google.com/maps/search/?api=1&query=33.8838499,-5.5946174",Friday (2026-06-05)
Clinique Beauséjour,Clinic,Morocco,+212 5 37 78 13 13,Not Specified,Not Listed,34.0324632,-6.8243995,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0324632,-6.8243995",Friday (2026-06-05)
Centre de dialyse Al AMAL,Clinic,Morocco,+212 5 37 38 44 93,Not Specified,"Lot V15, Résidence Maamora. Saknia",34.2498828,-6.5614166,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.2498828,-6.5614166",Friday (2026-06-05)
Hôpital Mohammed VI,Hospital,Tanger,Not Available,Not Specified,Rue Indonesie,35.7509724,-5.8283569,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7509724,-5.8283569",Friday (2026-06-05)
Hôpital Sanyat Rmel,Hospital,Tétouan,Not Available,Not Specified,Av. Abdelkhalek Torres,35.5732887,-5.3556967,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.5732887,-5.3556967",Friday (2026-06-05)
Polyclinique CNSS,Hospital,Tanger,Not Available,Not Specified,Rue 14 زنقة,35.7753803,-5.770132,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7753803,-5.770132",Friday (2026-06-05)
Croissant rouge marocain,Hospital,rue mohamed el hansali fes,+212 5 35 62 40 42,Not Specified,Not Listed,34.0382154,-5.0006078,2026-03-05,"https://www.google.com/maps/search/?api=1&query=34.0382154,-5.0006078",Friday (2026-06-05)
Hôpital Omar Drissi,Hospital,Morocco,Not Available,Not Specified,"Av Allal El Fassi Avenue de La Liberte, Fès, Maroc",34.0573836,-4.9814196,2026-04-04,"https://www.google.com/maps/search/?api=1&query=34.0573836,-4.9814196",Friday (2026-06-05)
Hôpital Espagnol,Hospital,Tanger,Not Available,Not Specified,Rue Mahatma Gandi,35.7782078,-5.8225022,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7782078,-5.8225022",Friday (2026-06-05)
Clinique Sidi Amar,Clinic,Tanger,Not Available,Not Specified,Avenue Sidi Amar,35.7792464,-5.8310481,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7792464,-5.8310481",Friday (2026-06-05)
Cabinets de Pédiatrie,Clinic,Tanger,Not Available,Not Specified,Rue al-Moujahidine,35.7761171,-5.8373073,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7761171,-5.8373073",Friday (2026-06-05)
Clinique Assalam,Clinic,Tanger,Not Available,Not Specified,Avenue Abderrahmane Youssoufi,35.7699061,-5.8095036,2026-03-05,"https://www.google.com/maps/search/?api=1&query=35.7699061,-5.8095036",Friday (2026-06-05)
Hopital Mohamed 5,Hospital,Morocco,Not Available,Not Specified,Not Listed,32.8582311,-6.556364,2026-04-08,"https://www.google.com/maps/search/?api=1&query=32.8582311,-6.556364",Friday (2026-06-05)
مصحة الكوثر,Hospital,fez,Not Available,Not Specified,Not Listed,34.0143665,-4.9998494,2026-04-27,"https://www.google.com/maps/search/?api=1&query=34.0143665,-4.9998494",Friday (2026-06-05)
Hôpital / Centre Hospitalier,Hospital,Morocco,Not Available,Not Specified,Not Listed,33.8974404,-5.5641002,2026-03-28,"https://www.google.com/maps/search/?api=1&query=33.8974404,-5.5641002",Friday (2026-06-05)
Clinic Ibn Sina,Clinic,Morocco,Not Available,Not Specified,Boulevard Hassan I,30.4116529,-9.5627573,2026-04-14,"https://www.google.com/maps/search/?api=1&query=30.4116529,-9.5627573",Friday (2026-06-05)
Centre de radiologie Benchekroun CRDIB,Hospital,Fès,Not Available,Yes / 24h Urgences,Rue Al Hoceima زنقة الحسيمة,34.027186,-4.9944183,2026-05-03,"https://www.google.com/maps/search/?api=1&query=34.027186,-4.9944183",Friday (2026-06-05)
Cabinet Medical,Hospital,midar,+212 5 36 36 42 00,Yes / 24h Urgences,Rue Berkane,34.9383842,-3.5343032,2026-04-16,"https://www.google.com/maps/search/?api=1&query=34.9383842,-3.5343032",Friday (2026-06-05)
